"","treatment","groupID","round","contribution","endowment","share","stock","gain","bot_active","disaster","EWE","noComprehension"
"1","noPunish10",501,1,8.75,20,0.4375,25.25,5.25,0,0,0,0
"2","noPunish10",501,2,8.75,25.25,0.4375,30.5,5.25,0,0,0,0
"3","noPunish10",501,3,13.25,30.5,0.524752497673035,37.25,6.75,0,0,0,0
"4","noPunish10",501,4,17.5,37.25,0.573770463466644,46.75,9.5,0,0,0,0
"5","noPunish10",501,5,26,46.75,0.697986602783203,59.75,13,0,0,0,0
"6","noPunish10",501,6,28.75,59.75,0.614973247051239,75,15.25,0,0,0,0
"7","noPunish10",501,7,35.75,75,0.59832638502121,93.25,18.25,0,0,0,0
"8","noPunish10",501,8,32,93.25,0.426666676998138,109.25,16,0,0,0,0
"9","noPunish10",501,9,23.5,109.25,0.332010746002197,121.75,12.5,0,0,0,0
"10","noPunish10",501,10,0.25,121.75,0.15228833258152,122.5,0.75,0,0,0,0
"11","noPunish10",502,1,16.25,20,0.8125,28.75,8.75,0,0,0,0
"12","noPunish10",502,2,21.25,28.75,1.0625,39.5,10.75,0,0,0,0
"13","noPunish10",502,3,33.25,39.5,1.15652179718018,56.25,16.75,0,0,0,0
"14","noPunish10",502,4,45.5,56.25,1.15189874172211,79.75,23.5,0,0,0,0
"15","noPunish10",502,5,65.25,79.75,1.1599999666214,112.5,32.75,0,0,0,0
"16","noPunish10",502,6,92.5,112.5,1.15987455844879,159,46.5,0,0,0,0
"17","noPunish10",502,7,133.25,159,1.18444442749023,225.75,66.75,0,0,0,0
"18","noPunish10",502,8,187.5,225.75,1.17924523353577,320.25,94.5,0,0,0,0
"19","noPunish10",502,9,190.5,320.25,0.923853814601898,415.75,95.5,0,0,0,0
"20","noPunish10",502,10,62.75,415.75,0.345940679311752,448,32.25,0,0,0,0
"21","noPunish10",503,1,10,20,0.5,25,5,0,0,0,0
"22","noPunish10",503,2,11.5,25,0.574999988079071,31.5,6.5,0,0,0,0
"23","noPunish10",503,3,12.75,31.5,0.509999990463257,38.75,7.25,0,0,0,0
"24","noPunish10",503,4,13.75,38.75,0.436507940292358,46,7.25,0,0,0,0
"25","noPunish10",503,5,12.5,46,0.322580635547638,52.5,6.5,0,0,0,0
"26","noPunish10",503,6,11.25,52.5,0.244565218687057,58.25,5.75,0,0,0,0
"27","noPunish10",503,7,13.25,58.25,0.252380967140198,65,6.75,0,0,0,0
"28","noPunish10",503,8,10,65,0.171673819422722,70,5,0,0,0,0
"29","noPunish10",503,9,7.75,70,0.199230775237083,74.25,4.25,0,0,0,0
"30","noPunish10",503,10,2.25,74.25,0.182142853736877,76,1.75,0,0,0,0
"31","noPunish10",504,1,12.75,20,0.637499988079071,27.25,7.25,0,0,0,0
"32","noPunish10",504,2,12.25,27.25,0.612500011920929,34,6.75,0,0,0,0
"33","noPunish10",504,3,12,34,0.440366983413696,40,6,0,0,0,0
"34","noPunish10",504,4,21,40,0.617647051811218,51,11,0,0,0,0
"35","noPunish10",504,5,40.25,51,1.00625002384186,71.75,20.75,0,0,0,0
"36","noPunish10",504,6,66.25,71.75,1.29901957511902,105.5,33.75,0,0,0,0
"37","noPunish10",504,7,75.5,105.5,1.05226480960846,144,38.5,0,0,0,0
"38","noPunish10",504,8,78.5,144,0.744075834751129,183.5,39.5,0,0,0,0
"39","noPunish10",504,9,105,183.5,0.809166669845581,236.5,53,0,0,0,0
"40","noPunish10",504,10,92,236.5,0.651362359523773,282.5,46,0,0,0,0
"41","noPunish10",505,1,8.5,20,0.425000011920929,24.5,4.5,0,0,0,0
"42","noPunish10",505,2,8.5,24.5,0.425000011920929,29,4.5,0,0,0,0
"43","noPunish10",505,3,19.75,29,0.806122422218323,39.25,10.25,0,0,0,0
"44","noPunish10",505,4,17,39.25,0.586206912994385,48.25,9,0,0,0,0
"45","noPunish10",505,5,13.25,48.25,0.337579607963562,55,6.75,0,0,0,0
"46","noPunish10",505,6,8.25,55,0.170984461903572,59.75,4.75,0,0,0,0
"47","noPunish10",505,7,1.25,59.75,0.0227272734045982,60.5,0.75,0,0,0,0
"48","noPunish10",505,8,7.75,60.5,0.129707112908363,64.75,4.25,0,0,0,0
"49","noPunish10",505,9,2.25,64.75,0.117190085351467,66.5,1.75,0,0,0,0
"50","noPunish10",505,10,0,66.5,0.150000005960464,66.5,0,0,0,0,0
"51","noPunish10",506,1,7.75,20,0.387499988079071,24.25,4.25,0,0,0,0
"52","noPunish10",506,2,8.75,24.25,0.4375,29.5,5.25,0,0,0,0
"53","noPunish10",506,3,4.75,29.5,0.195876285433769,32.75,3.25,0,0,0,0
"54","noPunish10",506,4,3.75,32.75,0.127118647098541,35,2.25,0,0,0,0
"55","noPunish10",506,5,15,35,0.458015263080597,43,8,0,0,0,0
"56","noPunish10",506,6,6.75,43,0.192857146263123,47.25,4.25,0,0,0,0
"57","noPunish10",506,7,6,47.25,0.139534890651703,50.25,3,0,0,0,0
"58","noPunish10",506,8,3,50.25,0.0634920671582222,52.25,2,0,0,0,0
"59","noPunish10",506,9,0,52.25,0.0799999982118607,52.25,0,0,0,0,0
"60","noPunish10",506,10,1.25,52.25,0.173923447728157,53,0.75,0,0,0,0
"61","noPunish10",507,1,13,20,0.649999976158142,27,7,0,0,0,0
"62","noPunish10",507,2,13,27,0.649999976158142,34,7,0,0,0,0
"63","noPunish10",507,3,11,34,0.407407402992249,40,6,0,0,0,0
"64","noPunish10",507,4,11.75,40,0.345588237047195,46.25,6.25,0,0,0,0
"65","noPunish10",507,5,7.5,46.25,0.1875,50.75,4.5,0,0,0,0
"66","noPunish10",507,6,1.5,50.75,0.0324324332177639,52.25,1.5,0,0,0,0
"67","noPunish10",507,7,3.5,52.25,0.0689655169844627,54.75,2.5,0,0,0,0
"68","noPunish10",507,8,2.25,54.75,0.0430622026324272,56.5,1.75,0,0,0,0
"69","noPunish10",507,9,1.25,56.5,0.102831050753593,57.25,0.75,0,0,0,0
"70","noPunish10",507,10,0.5,57.25,0.15884955227375,57.75,0.5,0,0,0,0
"71","noPunish10",508,1,9.25,20,0.462500005960464,24.75,4.75,0,0,0,0
"72","noPunish10",508,2,7,24.75,0.349999994039536,28.75,4,0,0,0,0
"73","noPunish10",508,3,6.5,28.75,0.262626260519028,32.25,3.5,0,0,0,0
"74","noPunish10",508,4,14.25,32.25,0.495652168989182,40,7.75,0,0,0,0
"75","noPunish10",508,5,11,40,0.341085284948349,46,6,0,0,0,0
"76","noPunish10",508,6,11,46,0.275000005960464,52,6,0,0,0,0
"77","noPunish10",508,7,10.5,52,0.22826087474823,57.5,5.5,0,0,0,0
"78","noPunish10",508,8,3.5,57.5,0.0673076957464218,60,2.5,0,0,0,0
"79","noPunish10",508,9,3.25,60,0.136521741747856,61.75,1.75,0,0,0,0
"80","noPunish10",508,10,2.5,61.75,0.191666662693024,63.25,1.5,0,0,0,0
"81","noPunish10",801,1,8.75,20,0.4375,25.25,5.25,0,0,0,0
"82","noPunish10",801,2,11.25,25.25,0.5625,31,5.75,0,0,0,0
"83","noPunish10",801,3,12.25,31,0.485148519277573,37.75,6.75,0,0,0,0
"84","noPunish10",801,4,11.75,37.75,0.379032254219055,44,6.25,0,0,0,0
"85","noPunish10",801,5,7,44,0.185430467128754,48,4,0,0,0,0
"86","noPunish10",801,6,5.5,48,0.125,51.5,3.5,0,0,0,0
"87","noPunish10",801,7,0,51.5,0,51.5,0,0,0,0,0
"88","noPunish10",801,8,0,51.5,0,51.5,0,0,0,0,0
"89","noPunish10",801,9,0.25,51.5,0.0848543718457222,52.25,0.75,0,0,0,0
"90","noPunish10",801,10,0,52.25,0.150000005960464,52.25,0,0,0,0,0
"91","noPunish10",802,1,11.5,20,0.574999988079071,26.5,6.5,0,0,0,0
"92","noPunish10",802,2,16.75,26.5,0.837499976158142,35.75,9.25,0,0,0,0
"93","noPunish10",802,3,23.25,35.75,0.877358496189117,47.5,11.75,0,0,0,0
"94","noPunish10",802,4,32.25,47.5,0.902097880840302,64.25,16.75,0,0,0,0
"95","noPunish10",802,5,39.25,64.25,0.826315760612488,84,19.75,0,0,0,0
"96","noPunish10",802,6,31.5,84,0.490272372961044,100.5,16.5,0,0,0,0
"97","noPunish10",802,7,30.5,100.5,0.363095223903656,116,15.5,0,0,0,0
"98","noPunish10",802,8,16.75,116,0.16666667163372,125.25,9.25,0,0,0,0
"99","noPunish10",802,9,5.25,125.25,0.12525862455368,128,2.75,0,0,0,0
"100","noPunish10",802,10,2,128,0.165968060493469,129,1,0,0,0,0
"101","noPunish10",803,1,11,20,0.550000011920929,26,6,0,0,0,0
"102","noPunish10",803,2,17.25,26,0.862500011920929,34.75,8.75,0,0,0,0
"103","noPunish10",803,3,14.5,34.75,0.557692289352417,42.25,7.5,0,0,0,0
"104","noPunish10",803,4,11.25,42.25,0.323741018772125,48,5.75,0,0,0,0
"105","noPunish10",803,5,22.75,48,0.538461565971375,60.25,12.25,0,0,0,0
"106","noPunish10",803,6,12.75,60.25,0.265625,67.5,7.25,0,0,0,0
"107","noPunish10",803,7,7.5,67.5,0.124481327831745,72,4.5,0,0,0,0
"108","noPunish10",803,8,9,72,0.133333340287209,77,5,0,0,0,0
"109","noPunish10",803,9,9,77,0.204999998211861,82,5,0,0,0,0
"110","noPunish10",803,10,8,82,0.253896117210388,86,4,0,0,0,0
"111","noPunish10",804,1,12,20,0.600000023841858,26,6,0,0,0,0
"112","noPunish10",804,2,6,26,0.300000011920929,29,3,0,0,0,0
"113","noPunish10",804,3,3.25,29,0.125,30.75,1.75,0,0,0,0
"114","noPunish10",804,4,4.75,30.75,0.163793101906776,34,3.25,0,0,0,0
"115","noPunish10",804,5,2,34,0.065040647983551,35,1,0,0,0,0
"116","noPunish10",804,6,2.25,35,0.0661764740943909,36.75,1.75,0,0,0,0
"117","noPunish10",804,7,2,36.75,0.0571428574621677,37.75,1,0,0,0,0
"118","noPunish10",804,8,2,37.75,0.0544217675924301,38.75,1,0,0,0,0
"119","noPunish10",804,9,1.25,38.75,0.113112583756447,39.5,0.75,0,0,0,0
"120","noPunish10",804,10,1.25,39.5,0.182258069515228,40.25,0.75,0,0,0,0
"121","noPunish10",805,1,13.5,20,0.675000011920929,27.5,7.5,0,0,0,0
"122","noPunish10",805,2,11,27.5,0.550000011920929,33.5,6,0,0,0,0
"123","noPunish10",805,3,12,33.5,0.436363637447357,39.5,6,0,0,0,0
"124","noPunish10",805,4,16.75,39.5,0.5,48.75,9.25,0,0,0,0
"125","noPunish10",805,5,11.5,48.75,0.291139245033264,55.25,6.5,0,0,0,0
"126","noPunish10",805,6,9.25,55.25,0.189743593335152,60,4.75,0,0,0,0
"127","noPunish10",805,7,5.75,60,0.104072399437428,63.25,3.25,0,0,0,0
"128","noPunish10",805,8,7.25,63.25,0.120833329856396,67,3.75,0,0,0,0
"129","noPunish10",805,9,5.5,67,0.166956529021263,70.5,3.5,0,0,0,0
"130","noPunish10",805,10,6.75,70.5,0.25074627995491,74.75,4.25,0,0,0,0
"131","noPunish10",806,1,8.25,20,0.412499994039536,24.75,4.75,0,0,0,0
"132","noPunish10",806,2,14,24.75,0.699999988079071,31.75,7,0,0,0,0
"133","noPunish10",806,3,17,31.75,0.686868667602539,40.75,9,0,0,0,0
"134","noPunish10",806,4,20.25,40.75,0.637795269489288,51.5,10.75,0,0,0,0
"135","noPunish10",806,5,20.75,51.5,0.509202480316162,62.75,11.25,0,0,0,0
"136","noPunish10",806,6,13.5,62.75,0.262135922908783,70.25,7.5,0,0,0,0
"137","noPunish10",806,7,5,70.25,0.0796812772750854,73.25,3,0,0,0,0
"138","noPunish10",806,8,1,73.25,0.0142348753288388,74.25,1,0,0,0,0
"139","noPunish10",806,9,0.625,74.25,0.0885324254631996,74.625,0.375,0,0,0,0
"140","noPunish10",806,10,0.75,74.75,0.160101011395454,76,1.25,0,0,0,0
"141","noPunish10",807,1,8.5,20,0.425000011920929,24.5,4.5,0,0,0,0
"142","noPunish10",807,2,11,24.5,0.550000011920929,30.5,6,0,0,0,0
"143","noPunish10",807,3,11,30.5,0.448979586362839,36.5,6,0,0,0,0
"144","noPunish10",807,4,12.5,36.5,0.409836053848267,43,6.5,0,0,0,0
"145","noPunish10",807,5,11.75,43,0.321917802095413,49.25,6.25,0,0,0,0
"146","noPunish10",807,6,10.5,49.25,0.244186043739319,54.75,5.5,0,0,0,0
"147","noPunish10",807,7,11,54.75,0.223350256681442,60.75,6,0,0,0,0
"148","noPunish10",807,8,11,60.75,0.200913235545158,66.75,6,0,0,0,0
"149","noPunish10",807,9,19.5,66.75,0.400987654924393,77.25,10.5,0,0,0,0
"150","noPunish10",807,10,5,77.25,0.224906370043755,80.25,3,0,0,0,0
"151","noPunish10",808,1,12.75,20,0.637499988079071,27.25,7.25,0,0,0,0
"152","noPunish10",808,2,12.5,27.25,0.625,33.75,6.5,0,0,0,0
"153","noPunish10",808,3,14.25,33.75,0.522935807704926,41.5,7.75,0,0,0,0
"154","noPunish10",808,4,22.75,41.5,0.674074053764343,53.75,12.25,0,0,0,0
"155","noPunish10",808,5,20,53.75,0.48192772269249,63.75,10,0,0,0,0
"156","noPunish10",808,6,12.75,63.75,0.237209305167198,71,7.25,0,0,0,0
"157","noPunish10",808,7,4.75,71,0.0745098069310188,74.25,3.25,0,0,0,0
"158","noPunish10",808,8,3.25,74.25,0.0457746461033821,76,1.75,0,0,0,0
"159","noPunish10",808,9,2.25,76,0.110303029417992,77.75,1.75,0,0,0,0
"160","noPunish10",808,10,1.5,77.75,0.169736847281456,79.25,1.5,0,0,0,0
"161","noPunish10",901,1,9.25,20,0.462500005960464,24.75,4.75,0,0,0,0
"162","noPunish10",901,2,18,24.75,0.899999976158142,33.75,9,0,0,0,0
"163","noPunish10",901,3,22,33.75,0.888888895511627,44.75,11,0,0,0,0
"164","noPunish10",901,4,29.25,44.75,0.866666674613953,59.5,14.75,0,0,0,0
"165","noPunish10",901,5,36,59.5,0.804469287395477,77.5,18,0,0,0,0
"166","noPunish10",901,6,37.75,77.5,0.634453773498535,96.75,19.25,0,0,0,0
"167","noPunish10",901,7,37,96.75,0.477419346570969,115.75,19,0,0,0,0
"168","noPunish10",901,8,66.75,115.75,0.689922451972961,150,34.25,0,0,0,0
"169","noPunish10",901,9,93,150,0.883455693721771,197,47,0,0,0,0
"170","noPunish10",901,10,107.5,197,0.866666615009308,251.5,54.5,0,0,0,0
"171","noPunish10",902,1,10,20,0.5,25,5,0,0,0,0
"172","noPunish10",902,2,13.25,25,0.662500023841858,31.75,6.75,0,0,0,0
"173","noPunish10",902,3,13.75,31.75,0.550000011920929,39,7.25,0,0,0,0
"174","noPunish10",902,4,16.5,39,0.519685029983521,47.5,8.5,0,0,0,0
"175","noPunish10",902,5,23.25,47.5,0.596153855323792,59.25,11.75,0,0,0,0
"176","noPunish10",902,6,28.25,59.25,0.594736814498901,74,14.75,0,0,0,0
"177","noPunish10",902,7,26.5,74,0.447257369756699,87.5,13.5,0,0,0,0
"178","noPunish10",902,8,23.75,87.5,0.32094594836235,99.75,12.25,0,0,0,0
"179","noPunish10",902,9,24.25,99.75,0.357142865657806,112.5,12.75,0,0,0,0
"180","noPunish10",902,10,20.25,112.5,0.353007525205612,123.25,10.75,0,0,0,0
"181","noPunish10",903,1,10.25,20,0.512499988079071,25.75,5.75,0,0,0,0
"182","noPunish10",903,2,10.25,25.75,0.512499988079071,31.5,5.75,0,0,0,0
"183","noPunish10",903,3,11,31.5,0.427184462547302,37.5,6,0,0,0,0
"184","noPunish10",903,4,10.75,37.5,0.341269850730896,43.75,6.25,0,0,0,0
"185","noPunish10",903,5,9,43.75,0.239999994635582,48.75,5,0,0,0,0
"186","noPunish10",903,6,8.25,48.75,0.18857142329216,53.5,4.75,0,0,0,0
"187","noPunish10",903,7,8.25,53.5,0.169230774044991,58.25,4.75,0,0,0,0
"188","noPunish10",903,8,6.75,58.25,0.126168221235275,62.5,4.25,0,0,0,0
"189","noPunish10",903,9,4.5,62.5,0.157253220677376,65,2.5,0,0,0,0
"190","noPunish10",903,10,3.5,65,0.206000000238419,67.5,2.5,0,0,0,0
"191","noPunish10",904,1,14.75,20,0.737500011920929,28.25,8.25,0,0,0,0
"192","noPunish10",904,2,22.75,28.25,1.13750004768372,40.5,12.25,0,0,0,0
"193","noPunish10",904,3,31.5,40.5,1.11504423618317,57,16.5,0,0,0,0
"194","noPunish10",904,4,39,57,0.962962985038757,77,20,0,0,0,0
"195","noPunish10",904,5,41.5,77,0.728070199489594,98.5,21.5,0,0,0,0
"196","noPunish10",904,6,66.75,98.5,0.866883099079132,132.75,34.25,0,0,0,0
"197","noPunish10",904,7,65.75,132.75,0.667512714862823,166,33.25,0,0,0,0
"198","noPunish10",904,8,62,166,0.467043310403824,197,31,0,0,0,0
"199","noPunish10",904,9,21,197,0.2065060287714,208,11,0,0,0,0
"200","noPunish10",904,10,30,208,0.302284270524979,223,15,0,0,0,0
"201","noPunish10",905,1,13.75,20,0.6875,27.25,7.25,0,0,0,0
"202","noPunish10",905,2,19.75,27.25,0.987500011920929,37.5,10.25,0,0,0,0
"203","noPunish10",905,3,23.75,37.5,0.871559619903564,49.75,12.25,0,0,0,0
"204","noPunish10",905,4,26.25,49.75,0.699999988079071,63.5,13.75,0,0,0,0
"205","noPunish10",905,5,30.25,63.5,0.6080402135849,79.25,15.75,0,0,0,0
"206","noPunish10",905,6,34,79.25,0.535433053970337,96.25,17,0,0,0,0
"207","noPunish10",905,7,37.5,96.25,0.473186105489731,115.75,19.5,0,0,0,0
"208","noPunish10",905,8,44.75,115.75,0.464935064315796,139,23.25,0,0,0,0
"209","noPunish10",905,9,35.25,139,0.384535640478134,156.75,17.75,0,0,0,0
"210","noPunish10",905,10,55.75,156.75,0.551079154014587,185,28.25,0,0,0,0
"211","noPunish10",906,1,6.25,20,0.3125,23.75,3.75,0,0,0,0
"212","noPunish10",906,2,6.25,23.75,0.3125,27.5,3.75,0,0,0,0
"213","noPunish10",906,3,5,27.5,0.210526317358017,30.5,3,0,0,0,0
"214","noPunish10",906,4,4.5,30.5,0.163636356592178,33,2.5,0,0,0,0
"215","noPunish10",906,5,2.5,33,0.0819672122597694,34.5,1.5,0,0,0,0
"216","noPunish10",906,6,2.25,34.5,0.0681818202137947,36.25,1.75,0,0,0,0
"217","noPunish10",906,7,3.25,36.25,0.0942028984427452,38,1.75,0,0,0,0
"218","noPunish10",906,8,12.25,38,0.337931036949158,44.75,6.75,0,0,0,0
"219","noPunish10",906,9,11.75,44.75,0.389210551977158,51,6.25,0,0,0,0
"220","noPunish10",906,10,19,51,0.5745809674263,61,10,0,0,0,0
"221","noPunish10",907,1,9,20,0.449999988079071,25,5,0,0,0,0
"222","noPunish10",907,2,11.25,25,0.5625,30.75,5.75,0,0,0,0
"223","noPunish10",907,3,13.5,30.75,0.540000021457672,38.25,7.5,0,0,0,0
"224","noPunish10",907,4,8.5,38.25,0.276422768831253,42.75,4.5,0,0,0,0
"225","noPunish10",907,5,5.25,42.75,0.137254908680916,45.5,2.75,0,0,0,0
"226","noPunish10",907,6,1.25,45.5,0.0292397662997246,46.25,0.75,0,0,0,0
"227","noPunish10",907,7,3.25,46.25,0.0714285746216774,48,1.75,0,0,0,0
"228","noPunish10",907,8,1.75,48,0.0378378368914127,49.25,1.25,0,0,0,0
"229","noPunish10",907,9,1.25,49.25,0.106041662395,50,0.75,0,0,0,0
"230","noPunish10",907,10,0.5,50,0.160152286291122,50.5,0.5,0,0,0,0
